x,y,z,status
-9366,-861,12572,1
-9184,-850,12611,1
-9169,-654,12569,1
-9333,-837,12570,1
-9202,-813,12560,1
-9104,-648,12646,1
-9339,-888,12622,1
-9109,-782,12610,1
-9202,-669,12600,1
-9240,-866,12598,1
-9190,-774,12591,1
-9174,-656,12639,1
-9319,-912,12575,1
-9135,-711,12624,1
-9190,-665,12633,1
-9225,-905,12628,1
-9148,-735,12635,1
-9227,-720,12654,1
-9252,-914,12611,1
-9171,-685,12607,1
-9222,-739,12574,1
-9289,-919,12623,1
-9128,-678,12605,1
-9261,-757,12626,1
-9205,-888,12603,1
-9150,-675,12604,1
-9252,-758,12624,1
-9315,-898,12617,1
-9101,-637,12653,1
-9353,-804,12520,1
-9226,-858,12572,1
-9167,-661,12604,1
-9316,-778,12605,1
-9264,-861,12585,1
-9097,-632,12665,1
-9340,-843,12583,1
-9219,-832,12621,1
-9140,-640,12605,1
-9383,-850,12574,1
-9212,-850,12604,1
-9175,-655,12647,1
-9347,-845,12570,1
-9187,-804,12630,1
-9144,-617,12676,1
-9354,-892,12583,1
-9143,-765,12624,1
-9201,-652,12605,1
-9282,-884,12621,1
-9185,-774,12596,1
-9178,-628,12613,1
-9352,-908,12607,1
-9112,-744,12621,1
-9200,-686,12651,1
-9212,-877,12641,1
-9174,-712,12580,1
-9219,-705,12648,1
-9274,-898,12594,1
-9131,-699,12610,1
-9271,-718,12578,1
-9265,-900,12633,1
-9162,-660,12628,1
-9258,-734,12626,1
-9244,-895,12627,1
-9126,-656,12609,1
-9319,-780,12668,1
-9268,-875,12569,1
-9116,-664,12587,1
-9368,-787,12567,1
-9237,-866,12603,1
-9123,-638,12624,1
-9306,-785,12604,1
-9238,-832,12541,1
-9091,-637,12680,1
-9367,-836,12583,1
-9180,-847,12613,1
-9159,-666,12606,1
-9327,-836,12585,1
-9215,-850,12616,1
-9122,-632,12661,1
-9322,-856,12630,1
-9149,-808,12622,1
-9147,-666,12688,1
-9292,-844,12618,1
-9152,-780,12608,1
-9185,-644,12643,1
-9312,-883,12605,1
-9184,-752,12588,1
-9169,-642,12644,1
-9314,-908,12595,1
-9109,-727,12636,1
-9218,-685,12617,1
-9168,-924,12644,1
-9161,-716,12614,1
-9202,-679,12653,1
-9262,-927,12599,1
-9104,-698,12635,1
-9295,-736,12618,1
-9246,-877,12616,1
-9186,-670,12608,1
-9211,-723,12634,1
-9256,-918,12607,1
-9098,-651,12645,1
-9308,-777,12589,1
-9257,-891,12645,1
-9109,-662,12607,1
-9346,-820,12541,1
-9241,-881,12651,1
-9146,-648,12625,1
-9289,-790,12592,1
-9257,-867,12621,1
-9089,-626,12668,1
-9334,-850,12609,1
-9178,-839,12593,1
-9145,-648,12660,1
-9356,-845,12624,1
-9249,-848,12577,1
-9130,-633,12633,1
-9373,-851,12576,1
-9170,-797,12621,1
-9142,-648,12636,1
-9266,-876,12645,1
-9187,-798,12578,1
-9144,-671,12648,1
-9299,-887,12560,1
-9166,-787,12619,1
-9334,-911,12548,1
-9142,-760,12610,1
-9225,-662,12617,1
-9247,-889,12655,1
-9165,-743,12618,1
-9190,-678,12675,1
-9258,-910,12577,1
-9103,-704,12598,1
-9291,-718,12620,1
-9245,-931,12604,1
-9162,-710,12570,1
-9242,-731,12573,1
-9242,-901,12614,1
-9120,-647,12633,1
-9248,-754,12625,1
-9231,-869,12635,1
-9110,-677,12646,1
-9329,-788,12582,1
-9219,-879,12622,1
-9143,-653,12602,1
-9298,-787,12614,1
-9255,-854,12594,1
-9071,-646,12636,1
-9364,-831,12563,1
-9163,-857,12634,1
-9148,-663,12657,1
-9321,-836,12615,1
-9238,-880,12572,1
-9119,-655,12618,1
-9350,-883,12584,1
-9181,-802,12589,1
-9126,-633,12645,1
-9322,-860,12633,1
-9140,-774,12582,1
-9164,-648,12656,1
-9291,-874,12602,1
-9149,-775,12602,1
-9179,-662,12641,1
-9325,-901,12607,1
-9140,-751,12580,1
-9226,-676,12629,1
-9202,-861,12630,1
-9168,-724,12586,1
-9210,-677,12642,1
-9277,-897,12591,1
-9134,-692,12640,1
-9284,-704,12611,1
-9250,-889,12616,1
-9156,-682,12589,1
-9244,-716,12657,1
-9278,-894,12631,1
-9132,-633,12687,1
-9312,-761,12586,1
-9251,-899,12611,1
-9142,-676,12634,1
-9333,-802,12595,1
-9256,-871,12608,1
-9139,-660,12638,1
-9307,-796,12610,1
-9247,-854,12603,1
-9103,-631,12687,1
-9355,-836,12614,1
-9219,-839,12588,1
-9160,-654,12640,1
-9315,-842,12617,1
-9233,-837,12597,1
-9146,-624,12611,1
-9356,-839,12575,1
-9133,-793,12634,1
-9166,-666,12644,1
-9262,-873,12612,1
-9183,-806,12604,1
-9132,-647,12657,1
-9338,-885,12592,1
-9123,-769,12636,1
-9196,-686,12620,1
-9291,-915,12644,1
-9159,-761,12604,1
-9194,-676,12657,1
-9223,-908,12615,1
-9136,-730,12586,1
-9230,-689,12629,1
-9238,-912,12591,1
-9134,-712,12627,1
-9264,-751,12557,1
-9256,-898,12638,1
-9164,-678,12601,1
-9238,-706,12654,1
-9276,-890,12616,1
-9080,-678,12695,1
-9341,-774,12574,1
-9231,-885,12661,1
-9149,-674,12591,1
-9278,-759,12587,1
-9278,-888,12570,1
-9091,-635,12634,1
-9357,-810,12586,1
-9204,-857,12625,1
-9132,-678,12643,1
-9336,-844,12613,1
-9225,-872,12608,1
-9191,-646,12669,1
-9293,-860,12591,1
-9218,-841,12600,1
-9123,-648,12623,1
-9374,-850,12584,1
-9130,-827,12637,1
-9157,-640,12649,1
-9279,-848,12649,1
-9200,-769,12557,1
-9140,-623,12640,1
-9334,-901,12565,1
-9143,-749,12621,1
-9204,-685,12617,1
-9264,-886,12613,1
-9173,-751,12610,1
-9162,-655,12708,1
-9220,-905,12601,1
-9130,-720,12627,1
