18:13:36:344 -> X -11421;Y 751;Z 6343
18:13:36:365 -> X -4382;Y -376;Z 15396
18:13:36:385 -> X -12885;Y -2760;Z 15772
18:13:36:405 -> X -13050;Y 459;Z 6123
18:13:36:424 -> X -3671;Y 405;Z 13606
18:13:36:449 -> X -11804;Y -2808;Z 16920
18:13:36:464 -> X -14286;Y 104;Z 6571
18:13:36:484 -> X -3546;Y 1012;Z 11801
18:13:36:505 -> X -10757;Y -2805;Z 17668
18:13:36:525 -> X -14963;Y -381;Z 7398
18:13:36:545 -> X -4030;Y 1474;Z 10054
18:13:36:565 -> X -9544;Y -2588;Z 18116
18:13:36:584 -> X -15323;Y -957;Z 8806
18:13:36:604 -> X -5110;Y 1627;Z 8673
18:13:36:625 -> X -8289;Y -2278;Z 18171
18:13:36:645 -> X -15214;Y -1519;Z 10631
18:13:36:664 -> X -6704;Y 1539;Z 7583
18:13:36:685 -> X -7057;Y -1849;Z 17833
18:13:36:705 -> X -14791;Y -2039;Z 12358
18:13:36:725 -> X -8730;Y 1272;Z 6866
18:13:36:745 -> X -5726;Y -1267;Z 17082
18:13:36:765 -> X -13970;Y -2420;Z 14007
18:13:36:784 -> X -10929;Y 904;Z 6320
18:13:36:805 -> X -4700;Y -578;Z 15824
18:13:36:825 -> X -13113;Y -2693;Z 15390
18:13:36:844 -> X -12668;Y 507;Z 6023
18:13:36:865 -> X -3771;Y 198;Z 14193
18:13:36:885 -> X -12042;Y -2837;Z 16574
18:13:36:904 -> X -13975;Y 212;Z 6285
18:13:36:925 -> X -3525;Y 822;Z 12399
18:13:36:945 -> X -11070;Y -2791;Z 17404
18:13:36:965 -> X -14833;Y -228;Z 6984
18:13:36:985 -> X -3781;Y 1302;Z 10735
18:13:37:005 -> X -9966;Y -2714;Z 17935
18:13:37:025 -> X -15298;Y -747;Z 8245
18:13:37:045 -> X -4693;Y 1603;Z 9197
18:13:37:065 -> X -8770;Y -2457;Z 18152
18:13:37:085 -> X -15351;Y -1347;Z 9903
18:13:37:104 -> X -6073;Y 1641;Z 7937
18:13:37:125 -> X -7551;Y -2057;Z 17982
18:13:37:145 -> X -14973;Y -1890;Z 11709
18:13:37:165 -> X -8088;Y 1440;Z 7113
18:13:37:185 -> X -14679;Y -2088;Z 12639
18:13:37:204 -> X -9144;Y 1286;Z 6686
18:13:37:225 -> X -5636;Y -1177;Z 16875
18:13:37:245 -> X -13829;Y -2505;Z 14292
18:13:37:264 -> X -11267;Y 811;Z 6292
18:13:37:285 -> X -4528;Y -495;Z 15475
18:13:37:305 -> X -12841;Y -2733;Z 15643
18:13:37:325 -> X -12995;Y 527;Z 6020
18:13:37:345 -> X -3761;Y 333;Z 13786
18:13:37:365 -> X -11763;Y -2848;Z 16837
18:13:37:384 -> X -14233;Y 94;Z 6525
18:13:37:405 -> X -3579;Y 1002;Z 11849
18:13:37:425 -> X -10683;Y -2806;Z 17646
18:13:37:445 -> X -14972;Y -376;Z 7346
18:13:37:465 -> X -4076;Y 1465;Z 10066
18:13:37:485 -> X -9562;Y -2619;Z 18046
18:13:37:505 -> X -15312;Y -971;Z 8944
18:13:37:524 -> X -5166;Y 1662;Z 8648
18:13:37:545 -> X -8296;Y -2308;Z 18153
18:13:37:565 -> X -15175;Y -1646;Z 10737
18:13:37:584 -> X -6907;Y 1519;Z 7566
18:13:37:605 -> X -7016;Y -1793;Z 17733
18:13:37:625 -> X -14679;Y -2111;Z 12598
18:13:37:645 -> X -9057;Y 1254;Z 6745
18:13:37:665 -> X -5626;Y -1127;Z 16889
18:13:37:685 -> X -13858;Y -2526;Z 14252
18:13:37:705 -> X -11279;Y 725;Z 6341
18:13:37:725 -> X -4472;Y -421;Z 15414
18:13:37:745 -> X -12815;Y -2759;Z 15738
18:13:37:764 -> X -13040;Y 439;Z 6082
18:13:37:784 -> X -3675;Y 412;Z 13612
18:13:37:805 -> X -11729;Y -2801;Z 16840
18:13:37:824 -> X -14297;Y 10;Z 6624
18:13:37:845 -> X -3522;Y 1118;Z 11615
